# ----------------------------------------
# Training website
# Computational chemistry
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"2,135"
0023,"1,904"
0018,"1,526"
0022,"1,475"
0017,"1,440"
0019,"1,401"
0020,"1,398"
0021,"1,343"
0016,"1,001"
0015,835
0013,817
0014,784
0012,756
0011,481
0010,306
0009,186
0008,111
0007,95
0028,43
0029,42
0031,34
0027,31
0026,30
0025,29
0030,25
0032,14
0001,1
0004,1
0006,1
